rater_id,error_sd,rater_category,expected_rho
h_165,0.24000000000000002,high,0.8
h_166,0.24000000000000002,high,0.8
h_167,0.24000000000000002,high,0.8
h_168,0.24000000000000002,high,0.8
h_169,0.24000000000000002,high,0.8
h_170,0.24000000000000002,high,0.8
h_171,0.24000000000000002,high,0.8
h_172,0.24000000000000002,high,0.8
h_173,0.24000000000000002,high,0.8
h_174,0.24000000000000002,high,0.8
h_175,0.24000000000000002,high,0.8
h_176,0.24000000000000002,high,0.8
h_177,0.24000000000000002,high,0.8
h_178,0.24000000000000002,high,0.8
h_179,0.24000000000000002,high,0.8
h_180,0.24000000000000002,high,0.8
h_181,0.24000000000000002,high,0.8
h_182,0.24000000000000002,high,0.8
h_183,0.24000000000000002,high,0.8
h_184,0.24000000000000002,high,0.8
h_185,0.24000000000000002,high,0.8
h_186,0.24000000000000002,high,0.8
h_187,0.24000000000000002,high,0.8
h_188,0.24000000000000002,high,0.8
h_189,0.24000000000000002,high,0.8
h_190,0.24000000000000002,high,0.8
h_191,0.24000000000000002,high,0.8
h_192,0.24000000000000002,high,0.8
h_193,0.24000000000000002,high,0.8
h_194,0.24000000000000002,high,0.8
h_195,0.24000000000000002,high,0.8
h_196,0.24000000000000002,high,0.8
h_197,0.24000000000000002,high,0.8
h_198,0.24000000000000002,high,0.8
h_199,0.24000000000000002,high,0.8
h_200,0.24000000000000002,high,0.8
